job_key,snapshot_date_key,country_key,role_key,search_term,query_page,query_result_position,estimated_job_count
de-5840281546,20260903,de,BI,BI analyst,1,5,19
de-5840355044,20260903,de,DA,data analyst,4,162,306
de-5840508797,20260903,de,DA,data analyst,4,161,306
de-5841890799,20260903,de,DA,data analyst,4,160,306
de-5841997634,20260903,de,DA,data analyst,4,159,306
de-5842039733,20260903,de,DA,data analyst,4,158,306
de-5842047732,20260903,de,DA,data analyst,4,157,306
de-5842069766,20260903,de,DA,data analyst,4,156,306
de-5842729684,20260903,de,DA,data analyst,4,155,306
de-5843162084,20260903,de,DA,data analyst,4,154,306
de-5843240583,20260903,de,DA,data analyst,4,153,306
de-5843270176,20260903,de,DA,data analyst,4,152,306
de-5843300954,20260903,de,DA,data analyst,4,151,306
de-5843304926,20260903,de,DA,data analyst,3,150,306
de-5844198313,20260903,de,BI,BI analyst,1,4,19
de-5844372604,20260903,de,DA,data analyst,3,149,306
de-5845778274,20260903,de,DA,data analyst,3,148,306
de-5845897971,20260903,de,DA,data analyst,3,147,306
de-5847068515,20260903,de,DA,data analyst,3,146,306
de-5847435609,20260903,de,DA,datenanalyst,1,13,25
de-5847626132,20260903,de,DA,data analyst,3,145,306
de-5847687462,20260903,de,DA,data analyst,3,144,306
de-5847722529,20260903,de,DA,data analyst,3,143,306
de-5848032631,20260903,de,DA,data analyst,3,142,306
de-5848115620,20260903,de,BI,BI analyst,1,3,19
de-5848115620,20260903,de,DA,data analyst,3,141,306
de-5848128975,20260903,de,DA,data analyst,3,140,306
de-5848232080,20260903,de,DA,data analyst,3,139,306
de-5848496731,20260903,de,DA,data analyst,3,138,306
de-5848533692,20260903,de,DA,data analyst,3,137,306
de-5848586738,20260903,de,DA,data analyst,3,136,306
de-5849082736,20260903,de,DA,datenanalyst,1,12,25
de-5849183765,20260903,de,DA,data analyst,3,135,306
de-5849251398,20260903,de,DA,data analyst,3,134,306
de-5849315005,20260903,de,DA,data analyst,3,133,306
de-5849325391,20260903,de,DA,data analyst,3,132,306
de-5849585787,20260903,de,DA,data analyst,3,131,306
de-5849585790,20260903,de,DA,data analyst,3,130,306
de-5849769507,20260903,de,DA,data analyst,3,129,306
de-5849808301,20260903,de,DA,data analyst,3,128,306
de-5849998207,20260903,de,DA,data analyst,3,127,306
de-5850001762,20260903,de,DA,data analyst,3,126,306
de-5850159030,20260903,de,DA,data analyst,3,125,306
de-5850165033,20260903,de,DA,data analyst,3,124,306
de-5850417363,20260903,de,DA,data analyst,3,123,306
de-5850731785,20260903,de,DA,data analyst,3,122,306
de-5851207580,20260903,de,DA,data analyst,3,121,306
de-5851307364,20260903,de,DA,data analyst,3,120,306
de-5851313135,20260903,de,DA,data analyst,3,119,306
de-5851326698,20260903,de,DA,data analyst,3,118,306
de-5851345939,20260903,de,DA,datenanalyst,1,11,25
de-5852181999,20260903,de,DA,data analyst,3,117,306
de-5852480853,20260903,de,DA,data analyst,3,116,306
de-5852577992,20260903,de,DA,data analyst,3,115,306
de-5852710200,20260903,de,DA,datenanalyst,1,10,25
de-5853561751,20260903,de,DA,datenanalyst,1,9,25
de-5853565462,20260903,de,DA,data analyst,3,114,306
de-5853565462,20260903,de,DA,datenanalyst,1,8,25
de-5853621838,20260903,de,DA,data analyst,3,113,306
de-5854367551,20260903,de,DA,data analyst,3,111,306
de-5854367552,20260903,de,DA,data analyst,3,112,306
de-5854419151,20260903,de,DA,datenanalyst,1,7,25
de-5854419273,20260903,de,DA,data analyst,3,110,306
de-5854422641,20260903,de,DA,data analyst,3,109,306
de-5854427911,20260903,de,DA,data analyst,3,108,306
de-5854478390,20260903,de,DA,data analyst,3,107,306
de-5854692629,20260903,de,DA,data analyst,3,106,306
de-5854821554,20260903,de,DA,data analyst,3,105,306
de-5855327520,20260903,de,DA,data analyst,3,104,306
de-5855434419,20260903,de,DA,data analyst,3,103,306
de-5855435937,20260903,de,BI,business intelligence analyst,1,9,14
de-5855591218,20260903,de,BI,business intelligence analyst,1,8,14
de-5855591218,20260903,de,DA,data analyst,3,102,306
de-5855599314,20260903,de,DA,data analyst,3,101,306
de-5856263806,20260903,de,DA,datenanalyst,1,6,25
de-5856263876,20260903,de,BI,BI analyst,1,2,19
de-5856263876,20260903,de,DA,data analyst,2,100,306
de-5856263975,20260903,de,BI,business intelligence analyst,1,7,14
de-5856263975,20260903,de,DA,data analyst,2,99,306
de-5856676532,20260903,de,DA,data analyst,2,98,306
de-5856974440,20260903,de,DA,data analyst,2,97,306
de-5857113284,20260903,de,DA,data analyst,2,96,306
de-5857315270,20260903,de,DA,data analyst,2,95,306
de-5857319234,20260903,de,DA,data analyst,2,94,306
de-5857626297,20260903,de,DA,data analyst,2,93,306
de-5857799876,20260903,de,DA,data analyst,2,92,306
de-5857805575,20260903,de,DA,data analyst,2,91,306
de-5857993681,20260903,de,DA,data analyst,2,90,306
de-5858005152,20260903,de,BI,business intelligence analyst,1,6,14
de-5858169364,20260903,de,DA,data analyst,2,89,306
de-5858186004,20260903,de,DA,data analyst,2,88,306
de-5858230960,20260903,de,DA,data analyst,2,87,306
de-5858237375,20260903,de,DA,data analyst,2,86,306
de-5858241214,20260903,de,DA,data analyst,2,84,306
de-5858241215,20260903,de,DA,data analyst,2,76,306
de-5858241216,20260903,de,DA,data analyst,2,83,306
de-5858241217,20260903,de,DA,data analyst,2,79,306
